stepCount,EnvironmentSiteOutdoorAirDrybulbTemperature,EnvironmentSiteExteriorHorizontalSkyIlluminance,Block1:Zone1_DaylCtrlDaylightingReferencePoint1Illuminance,EMSwarmUpComplete,Block1:Zone1ZoneMeanRadiantTemperature,EMSepTimeStep,Block1:Zone1ZoneAirRelativeHumidity,EnvironmentSiteRainStatus,Block1:Zone1ZoneMeanAirTemperature,Block1:Zone1NumberOfOccupants,Block1:Zone1BlindFraction,Block1:Zone1AverageGains,Block1:Zone1WindowState0,Block1:Zone1LightState
162,3.10000,0.00000,0.00000,1.00000,15.16954,18.00000,35.13791,0.00000,14.83934,1.00000,0.00000,100.17613,0.00000,1.00000
163,3.10000,0.00000,0.00000,1.00000,15.04965,19.00000,36.28744,1.00000,14.66572,0.00000,0.00000,0.00000,0.00000,0.00000
164,3.30000,0.00000,0.00000,1.00000,14.96887,20.00000,36.94571,0.00000,14.68412,0.00000,0.00000,0.00000,0.00000,0.00000
165,3.50000,0.00000,0.00000,1.00000,14.89153,21.00000,37.54836,0.00000,14.68601,0.00000,0.00000,0.00000,0.00000,0.00000
166,3.70000,0.00000,0.00000,1.00000,14.82443,22.00000,38.19963,0.00000,14.63582,0.00000,0.00000,0.00000,0.00000,0.00000
167,3.70000,0.00000,0.00000,1.00000,14.75052,23.00000,38.88414,0.00000,14.55333,0.00000,0.00000,0.00000,0.00000,0.00000
168,3.70000,0.00000,0.00000,1.00000,14.67989,24.00000,39.55166,0.00000,14.48107,0.00000,0.00000,0.00000,0.00000,0.00000
169,3.70000,0.00000,0.00000,1.00000,14.58485,1.00000,40.32193,1.00000,14.34850,0.00000,0.00000,0.00000,0.00000,0.00000
170,3.50000,0.00000,0.00000,1.00000,14.52482,2.00000,40.70831,0.00000,14.30888,0.00000,0.00000,0.00000,0.00000,0.00000
171,3.30000,0.00000,0.00000,1.00000,14.44170,3.00000,40.93141,0.00000,14.24539,0.00000,0.00000,0.00000,0.00000,0.00000
172,3.10000,0.00000,0.00000,1.00000,14.35431,4.00000,41.01307,0.00000,14.15764,0.00000,0.00000,0.00000,0.00000,0.00000
173,2.70000,0.00000,0.00000,1.00000,14.26252,5.00000,40.92984,0.00000,14.05215,0.00000,0.00000,0.00000,0.00000,0.00000
174,2.40000,0.00000,0.00000,1.00000,14.16956,6.00000,40.55719,0.00000,13.94950,0.00000,0.00000,0.00000,0.00000,0.00000
175,2.00000,0.00000,0.00000,1.00000,14.07767,7.00000,40.00185,0.00000,13.84752,0.00000,0.00000,0.00000,0.00000,0.00000
176,2.30000,0.00000,0.00000,1.00000,13.99677,8.00000,39.35361,0.00000,13.77099,0.00000,0.00000,0.00000,0.00000,0.00000
